dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-10-29 08:00:00,1730188800,65520.9,66100.0,65520.8,66041.0,65856.2,363.09895858,15155,XXBTZEUR
2024-10-29 12:00:00,1730203200,66041.1,67000.0,65708.7,66995.9,66410.0,631.80555332,10319,XXBTZEUR
2024-10-29 16:00:00,1730217600,66995.9,67999.0,66915.7,66954.9,67364.3,525.53560941,11060,XXBTZEUR
2024-10-29 20:00:00,1730232000,66969.8,67326.5,66322.9,67124.2,66864.5,227.2225735,6383,XXBTZEUR
2024-10-30 00:00:00,1730246400,67124.2,67148.6,66459.6,66699.1,66697.4,33.21253835,1763,XXBTZEUR
2024-10-30 04:00:00,1730260800,66699.1,67000.0,66617.9,66712.3,66779.3,59.13789994,2972,XXBTZEUR
2024-10-30 08:00:00,1730275200,66712.4,66940.3,66353.3,66435.0,66693.0,121.21083599,5120,XXBTZEUR
2024-10-30 12:00:00,1730289600,66435.2,66743.5,65934.0,66324.1,66398.3,302.00223356,5556,XXBTZEUR
2024-10-30 16:00:00,1730304000,66324.0,66444.0,65916.7,66127.4,66202.0,91.78429941,3590,XXBTZEUR
2024-10-30 20:00:00,1730318400,66116.6,67129.5,66000.0,66600.3,66610.4,63.30967102,3056,XXBTZEUR
2024-10-31 00:00:00,1730332800,66600.2,66831.0,66348.4,66653.0,66575.6,12.9518744,1137,XXBTZEUR
2024-10-31 04:00:00,1730347200,66662.7,66737.4,66449.5,66680.1,66652.5,142.4296082,3408,XXBTZEUR
2024-10-31 08:00:00,1730361600,66680.1,66831.0,66430.9,66451.9,66567.3,88.17352286,4085,XXBTZEUR
2024-10-31 12:00:00,1730376000,66452.0,66503.4,64903.8,65011.7,65491.6,212.89479238,6087,XXBTZEUR
2024-10-31 16:00:00,1730390400,65023.8,65243.2,64350.0,64350.0,64837.8,120.5505998,4835,XXBTZEUR
2024-10-31 20:00:00,1730404800,64350.0,64830.0,64017.4,64531.9,64457.6,63.85266924,3502,XXBTZEUR
2024-11-01 00:00:00,1730419200,64537.4,64690.5,63250.0,63753.2,63847.1,45.10800995,2457,XXBTZEUR
2024-11-01 04:00:00,1730433600,63753.2,64060.9,63520.0,63696.4,63774.6,41.36879401,3948,XXBTZEUR
2024-11-01 08:00:00,1730448000,63696.5,64626.0,63669.0,64402.0,64222.1,70.23738873,5565,XXBTZEUR
2024-11-01 12:00:00,1730462400,64402.0,65888.0,63670.1,63954.7,64887.2,159.97874621,6658,XXBTZEUR
2024-11-01 16:00:00,1730476800,63962.8,64942.0,63501.0,63955.5,64179.3,76.42732673,3825,XXBTZEUR
2024-11-01 20:00:00,1730491200,63898.6,64218.0,63553.4,64170.5,63913.0,22.03586216,2453,XXBTZEUR
